ID,Fecha,Tipo_Planta,Especie,Dataset,Epoca,Loss_Train,Loss_Val,Accuracy,Prediccion,Confianza,Correcta,Ubicacion,Temperatura,Humedad,Precision,Recall,F1_Score
35,2025-04-04,Arbol,Quercus robur,Validation,29,0.118,0.199,0.814,Quercus robur,0.61,1,Bosque Norte,34.1,81.8,0.858,0.925,0.89
36,2025-06-06,Arbol,Quercus robur,Train,25,0.089,0.148,0.899,Quercus robur,0.879,1,Cultivo Sur,26.5,54.0,0.874,0.788,0.829
37,2026-09-03,Arbol,Quercus robur,Test,7,0.203,0.193,0.845,Hedera helix,0.739,0,Jardin Botanico,28.9,40.7,0.933,0.872,0.901
38,2026-09-03,Arbol,Quercus robur,Validation,19,0.264,0.27,0.885,Quercus robur,0.638,1,Cultivo Este,22.3,63.7,0.808,0.759,0.783
39,2026-07-21,Arbol,Quercus robur,Validation,5,0.204,0.251,0.808,Quercus robur,0.746,1,Bosque Sur,25.6,65.2,0.878,0.838,0.857
40,2025-04-28,Arbol,Quercus robur,Test,26,0.068,0.253,0.805,Quercus robur,0.828,1,Cultivo Este,33.5,68.8,0.919,0.786,0.847
41,2026-10-19,Arbol,Quercus robur,Validation,15,0.186,0.334,0.869,Quercus robur,0.975,1,Bosque Norte,32.6,49.8,0.916,0.851,0.882
42,2026-03-22,Arbol,Quercus robur,Validation,10,0.074,0.264,0.813,Quercus robur,0.724,1,Jardin Botanico,31.1,41.2,0.818,0.754,0.785
43,2025-09-27,Arbol,Quercus robur,Train,21,0.224,0.25,0.958,Quercus robur,0.887,1,Cultivo Sur,30.1,54.1,0.851,0.776,0.812
44,2025-04-19,Arbol,Quercus robur,Test,25,0.298,0.191,0.867,Quercus robur,0.903,1,Parque Central,18.5,86.5,0.935,0.928,0.931
45,2026-06-04,Arbol,Quercus robur,Test,24,0.239,0.108,0.962,Quercus robur,0.797,1,Cultivo Sur,30.7,56.0,0.877,0.915,0.896
46,2025-06-15,Arbol,Quercus robur,Train,22,0.276,0.105,0.857,Hordeum vulgare,0.971,0,Cultivo Este,33.8,68.7,0.87,0.752,0.807
47,2026-09-06,Arbol,Quercus robur,Train,15,0.132,0.262,0.935,Quercus robur,0.909,1,Jardin Botanico,29.7,44.6,0.881,0.815,0.846
48,2025-04-25,Arbol,Quercus robur,Train,16,0.16,0.32,0.863,Quercus robur,0.646,1,Parque Central,13.6,78.1,0.81,0.871,0.84
49,2025-03-01,Arbol,Quercus robur,Train,12,0.225,0.1,0.948,Quercus robur,0.875,1,Cultivo Este,12.0,44.2,0.818,0.769,0.793
50,2026-05-13,Arbol,Quercus robur,Train,7,0.253,0.336,0.977,Cedrus atlantica,0.894,0,Cultivo Este,19.4,44.2,0.867,0.832,0.849
51,2025-05-12,Arbol,Pinus sylvestris,Train,26,0.277,0.11,0.889,Pinus sylvestris,0.604,1,Jardin Botanico,21.7,42.8,0.901,0.843,0.871
52,2025-06-19,Arbol,Pinus sylvestris,Test,13,0.237,0.238,0.973,Pinus sylvestris,0.746,1,Cultivo Este,17.1,83.4,0.821,0.893,0.855
53,2026-03-10,Arbol,Pinus sylvestris,Test,11,0.292,0.092,0.96,Pinus sylvestris,0.806,1,Cultivo Este,34.8,43.7,0.973,0.753,0.849
54,2026-12-08,Arbol,Pinus sylvestris,Test,11,0.207,0.268,0.882,Pinus sylvestris,0.845,1,Bosque Sur,24.6,85.1,0.974,0.865,0.917
55,2026-02-13,Arbol,Pinus sylvestris,Validation,26,0.273,0.203,0.912,Pinus sylvestris,0.708,1,Bosque Sur,14.7,63.2,0.851,0.959,0.902
56,2026-03-25,Arbol,Pinus sylvestris,Validation,21,0.294,0.346,0.926,Pinus sylvestris,0.809,1,Jardin Botanico,17.7,80.7,0.905,0.767,0.83
57,2025-09-11,Arbol,Pinus sylvestris,Train,12,0.256,0.336,0.931,Pinus sylvestris,0.839,1,Bosque Norte,20.5,86.6,0.829,0.95,0.886
58,2025-01-22,Arbol,Pinus sylvestris,Validation,23,0.144,0.299,0.978,Pinus sylvestris,0.659,1,Cultivo Este,24.9,59.0,0.808,0.756,0.781
59,2025-08-14,Arbol,Pinus sylvestris,Train,5,0.167,0.192,0.849,Helianthus annuus,0.622,0,Bosque Norte,31.6,80.6,0.952,0.934,0.943
60,2025-08-23,Arbol,Pinus sylvestris,Test,7,0.242,0.335,0.953,Pinus sylvestris,0.696,0,Bosque Norte,21.3,46.5,0.979,0.872,0.923
61,2026-06-11,Arbol,Pinus sylvestris,Validation,12,0.218,0.247,0.864,Cedrus atlantica,0.644,0,Parque Central,26.8,66.0,0.909,0.8,0.851
62,2026-05-13,Arbol,Pinus sylvestris,Test,11,0.188,0.231,0.958,Pinus sylvestris,0.757,1,Cultivo Este,13.4,41.4,0.894,0.937,0.915
63,2026-08-08,Arbol,Pinus sylvestris,Train,23,0.103,0.117,0.803,Pinus sylvestris,0.737,1,Jardin Botanico,24.7,59.6,0.912,0.905,0.908
64,2026-04-30,Arbol,Pinus sylvestris,Train,30,0.178,0.292,0.871,Pinus sylvestris,0.843,1,Jardin Botanico,31.6,87.5,0.963,0.827,0.89
65,2025-04-07,Arbol,Pinus sylvestris,Train,8,0.115,0.204,0.976,Pinus sylvestris,0.792,1,Bosque Sur,18.2,71.7,0.967,0.858,0.909
66,2025-12-29,Arbol,Pinus sylvestris,Validation,18,0.082,0.121,0.825,Pinus sylvestris,0.85,1,Jardin Botanico,14.5,57.3,0.814,0.778,0.796
67,2026-11-21,Arbol,Pinus sylvestris,Validation,25,0.093,0.132,0.807,Pinus sylvestris,0.666,0,Bosque Sur,17.0,48.9,0.885,0.897,0.891
68,2025-03-04,Arbol,Pinus sylvestris,Train,17,0.102,0.178,0.891,Pinus sylvestris,0.869,1,Bosque Sur,11.0,80.0,0.822,0.851,0.836
69,2025-04-22,Arbol,Pinus sylvestris,Validation,12,0.28,0.096,0.85,Pinus sylvestris,0.914,1,Cultivo Sur,28.7,49.2,0.815,0.942,0.874
70,2026-07-04,Arbol,Pinus sylvestris,Train,19,0.205,0.18,0.883,Pinus sylvestris,0.892,1,Cultivo Sur,10.9,52.6,0.867,0.857,0.862
71,2025-07-07,Arbol,Pinus sylvestris,Validation,13,0.183,0.109,0.881,Pinus sylvestris,0.808,1,Jardin Botanico,16.1,53.5,0.961,0.863,0.909
72,2025-03-19,Arbol,Pinus sylvestris,Train,19,0.103,0.168,0.822,Pinus sylvestris,0.947,1,Cultivo Este,24.8,74.0,0.804,0.821,0.812
73,2025-02-21,Arbol,Pinus sylvestris,Train,25,0.184,0.238,0.934,Pinus sylvestris,0.768,1,Cultivo Este,13.2,54.2,0.89,0.769,0.825
74,2025-04-06,Arbol,Pinus sylvestris,Train,29,0.139,0.346,0.909,Pinus sylvestris,0.693,1,Cultivo Sur,12.5,47.6,0.916,0.876,0.895
75,2026-02-21,Arbol,Pinus sylvestris,Train,20,0.121,0.127,0.961,Pinus sylvestris,0.631,1,Jardin Botanico,23.1,60.5,0.829,0.791,0.81
76,2025-03-02,Arbol,Pinus sylvestris,Train,10,0.292,0.314,0.947,Vitis vinifera,0.701,0,Jardin Botanico,14.3,73.4,0.82,0.838,0.829
77,2025-09-29,Arbol,Pinus sylvestris,Train,30,0.12,0.288,0.834,Vitis vinifera,0.726,0,Jardin Botanico,20.6,65.4,0.9,0.876,0.888
78,2026-03-10,Arbol,Pinus sylvestris,Validation,27,0.122,0.237,0.828,Pinus sylvestris,0.788,1,Bosque Sur,23.3,42.6,0.821,0.884,0.851
79,2026-11-09,Arbol,Pinus sylvestris,Test,27,0.297,0.167,0.946,Pinus sylvestris,0.699,1,Jardin Botanico,27.0,78.0,0.824,0.764,0.793
80,2025-07-14,Arbol,Pinus sylvestris,Train,14,0.137,0.331,0.95,Pinus sylvestris,0.976,1,Cultivo Sur,13.1,76.5,0.885,0.841,0.862
81,2026-07-10,Arbol,Pinus sylvestris,Train,6,0.235,0.235,0.952,Helianthus annuus,0.655,0,Bosque Sur,29.9,50.1,0.833,0.765,0.797
82,2025-02-28,Arbol,Pinus sylvestris,Validation,6,0.216,0.221,0.865,Pinus sylvestris,0.942,1,Cultivo Este,19.8,80.8,0.83,0.929,0.877
83,2026-05-30,Arbol,Pinus sylvestris,Validation,21,0.125,0.282,0.89,Pinus sylvestris,0.691,1,Cultivo Sur,32.5,59.2,0.868,0.852,0.86
84,2026-06-05,Arbol,Pinus sylvestris,Train,7,0.079,0.334,0.913,Pinus sylvestris,0.731,1,Cultivo Sur,13.5,79.7,0.963,0.887,0.924
85,2026-09-02,Arbol,Pinus sylvestris,Train,7,0.247,0.121,0.856,Pinus sylvestris,0.697,1,Bosque Sur,28.6,41.7,0.896,0.947,0.921
86,2026-02-18,Arbol,Pinus sylvestris,Train,8,0.136,0.302,0.82,Pinus sylvestris,0.93,1,Cultivo Este,13.2,59.9,0.937,0.943,0.94
87,2026-08-16,Arbol,Pinus sylvestris,Train,24,0.231,0.274,0.915,Pinus sylvestris,0.871,1,Bosque Norte,23.6,52.6,0.827,0.8,0.813
88,2025-03-25,Arbol,Pinus sylvestris,Test,18,0.196,0.188,0.883,Pinus sylvestris,0.969,1,Bosque Sur,13.8,69.3,0.833,0.95,0.887
89,2026-08-02,Arbol,Pinus sylvestris,Test,21,0.268,0.332,0.902,Pinus sylvestris,0.872,1,Parque Central,33.1,75.4,0.91,0.754,0.825
90,2025-07-29,Arbol,Pinus sylvestris,Validation,26,0.156,0.279,0.968,Pinus sylvestris,0.961,1,Bosque Sur,21.3,45.7,0.904,0.883,0.893
91,2025-09-29,Arbol,Pinus sylvestris,Validation,17,0.28,0.315,0.893,Camellia japonica,0.831,0,Cultivo Sur,20.0,42.7,0.951,0.777,0.855
92,2026-10-23,Arbol,Pinus sylvestris,Test,14,0.133,0.188,0.897,Pinus sylvestris,0.959,1,Jardin Botanico,18.7,57.3,0.945,0.751,0.837
93,2025-03-16,Arbol,Pinus sylvestris,Validation,5,0.163,0.118,0.832,Pinus sylvestris,0.794,1,Jardin Botanico,20.5,85.7,0.881,0.799,0.838
94,2026-07-31,Arbol,Pinus sylvestris,Test,8,0.053,0.259,0.832,Pinus sylvestris,0.975,1,Bosque Norte,13.7,60.7,0.905,0.889,0.897
95,2025-08-07,Arbol,Pinus sylvestris,Test,21,0.199,0.098,0.935,Pinus sylvestris,0.682,1,Parque Central,32.5,50.3,0.979,0.86,0.916
96,2025-12-24,Arbol,Pinus sylvestris,Train,7,0.191,0.098,0.94,Pinus sylvestris,0.777,1,Cultivo Sur,23.1,62.0,0.807,0.854,0.83
97,2025-10-19,Arbol,Pinus sylvestris,Validation,10,0.095,0.313,0.97,Pinus sylvestris,0.746,1,Jardin Botanico,16.8,72.2,0.901,0.784,0.838
98,2026-12-22,Arbol,Pinus sylvestris,Test,14,0.229,0.258,0.805,Pinus sylvestris,0.687,1,Cultivo Este,15.8,73.6,0.805,0.784,0.794
99,2026-06-26,Arbol,Pinus sylvestris,Test,5,0.095,0.256,0.843,Pinus sylvestris,0.639,1,Bosque Sur,16.1,76.1,0.819,0.926,0.869
100,2025-11-03,Arbol,Pinus sylvestris,Test,26,0.217,0.135,0.853,Pinus sylvestris,0.95,1,Bosque Norte,10.3,44.3,0.949,0.837,0.89
101,2025-09-28,Arbol,Cedrus atlantica,Train,8,0.196,0.194,0.961,Cedrus atlantica,0.919,1,Bosque Norte,18.5,53.0,0.805,0.79,0.797
102,2026-07-21,Arbol,Cedrus atlantica,Test,9,0.206,0.191,0.899,Cedrus atlantica,0.77,1,Parque Central,17.4,87.4,0.906,0.809,0.855
103,2026-09-12,Arbol,Cedrus atlantica,Validation,11,0.172,0.322,0.944,Cedrus atlantica,0.766,1,Bosque Sur,10.6,53.4,0.825,0.941,0.879
104,2025-07-28,Arbol,Cedrus atlantica,Validation,26,0.085,0.305,0.977,Cedrus atlantica,0.805,1,Bosque Sur,14.3,53.6,0.914,0.807,0.857
105,2026-06-02,Arbol,Cedrus atlantica,Validation,20,0.194,0.154,0.9,Cedrus atlantica,0.854,1,Parque Central,30.7,50.3,0.965,0.776,0.86
106,2025-04-05,Arbol,Cedrus atlantica,Train,25,0.268,0.241,0.908,Cedrus atlantica,0.859,1,Jardin Botanico,14.4,85.7,0.825,0.948,0.882
107,2025-02-15,Arbol,Cedrus atlantica,Validation,5,0.062,0.125,0.933,Cedrus atlantica,0.632,1,Parque Central,25.1,52.3,0.869,0.864,0.867
108,2026-10-15,Arbol,Cedrus atlantica,Train,13,0.23,0.16,0.902,Cedrus atlantica,0.786,1,Cultivo Sur,26.6,86.8,0.852,0.828,0.84
109,2026-03-29,Arbol,Cedrus atlantica,Test,22,0.116,0.241,0.809,Cedrus atlantica,0.794,1,Bosque Sur,24.9,56.7,0.839,0.757,0.796
110,2026-07-29,Arbol,Cedrus atlantica,Validation,5,0.232,0.214,0.924,Cedrus atlantica,0.77,1,Bosque Norte,16.2,81.0,0.819,0.767,0.792
111,2026-12-09,Arbol,Cedrus atlantica,Train,9,0.198,0.177,0.816,Cedrus atlantica,0.958,1,Cultivo Este,13.4,87.5,0.925,0.81,0.864
112,2026-01-14,Arbol,Cedrus atlantica,Train,23,0.268,0.278,0.945,Cedrus atlantica,0.857,1,Cultivo Este,27.3,82.5,0.833,0.869,0.851
113,2026-03-17,Arbol,Cedrus atlantica,Train,9,0.297,0.335,0.807,Cedrus atlantica,0.875,1,Bosque Norte,33.1,49.0,0.888,0.799,0.841
114,2026-01-09,Arbol,Cedrus atlantica,Validation,30,0.224,0.16,0.966,Cedrus atlantica,0.979,1,Bosque Norte,33.6,63.7,0.965,0.757,0.849
115,2025-08-04,Arbol,Cedrus atlantica,Validation,26,0.257,0.09,0.907,Cedrus atlantica,0.69,1,Cultivo Sur,13.0,43.8,0.952,0.82,0.881
116,2025-04-16,Arbol,Cedrus atlantica,Test,16,0.066,0.165,0.897,Cedrus atlantica,0.908,1,Cultivo Este,18.0,71.3,0.861,0.909,0.885
117,2025-06-08,Arbol,Cedrus atlantica,Validation,12,0.056,0.315,0.804,Solanum lycopersicum,0.941,0,Cultivo Sur,23.2,87.0,0.911,0.801,0.853
118,2026-02-27,Arbol,Cedrus atlantica,Train,5,0.242,0.189,0.886,Cedrus atlantica,0.845,1,Cultivo Sur,31.8,89.2,0.98,0.827,0.897
119,2025-12-07,Arbol,Cedrus atlantica,Test,30,0.234,0.144,0.82,Cedrus atlantica,0.738,1,Jardin Botanico,17.2,54.8,0.875,0.843,0.859
120,2025-09-12,Arbol,Cedrus atlantica,Test,13,0.297,0.195,0.869,Cedrus atlantica,0.865,1,Cultivo Sur,15.5,87.5,0.808,0.754,0.78
121,2025-04-21,Arbol,Cedrus atlantica,Test,17,0.27,0.335,0.884,Cedrus atlantica,0.839,1,Bosque Norte,14.2,89.6,0.816,0.842,0.829
122,2025-08-16,Arbol,Cedrus atlantica,Validation,11,0.202,0.218,0.842,Cedrus atlantica,0.669,1,Jardin Botanico,15.5,49.3,0.97,0.893,0.93
123,2025-11-09,Arbol,Cedrus atlantica,Validation,30,0.292,0.319,0.967,Cedrus atlantica,0.988,1,Cultivo Sur,14.3,59.8,0.863,0.763,0.81
124,2025-01-25,Arbol,Cedrus atlantica,Train,26,0.254,0.141,0.84,Cedrus atlantica,0.809,1,Cultivo Sur,24.8,69.0,0.925,0.784,0.849
125,2025-12-03,Arbol,Cedrus atlantica,Validation,13,0.082,0.32,0.972,Cedrus atlantica,0.936,1,Bosque Norte,30.2,72.8,0.958,0.808,0.877
126,2025-12-26,Arbol,Cedrus atlantica,Validation,25,0.143,0.15,0.93,Cedrus atlantica,0.793,1,Cultivo Este,12.0,51.0,0.816,0.84,0.828
127,2026-11-27,Arbol,Cedrus atlantica,Validation,22,0.174,0.21,0.907,Cedrus atlantica,0.922,1,Parque Central,18.7,73.9,0.814,0.937,0.871
128,2025-04-29,Arbol,Cedrus atlantica,Train,13,0.249,0.258,0.953,Cedrus atlantica,0.938,1,Cultivo Sur,27.7,81.9,0.848,0.943,0.893
129,2025-09-29,Arbol,Cedrus atlantica,Test,6,0.238,0.123,0.959,Cedrus atlantica,0.94,1,Bosque Norte,10.7,81.3,0.922,0.886,0.904
130,2026-03-21,Arbol,Cedrus atlantica,Test,16,0.09,0.301,0.95,Cedrus atlantica,0.798,1,Bosque Sur,10.2,54.4,0.86,0.914,0.886
131,2026-03-23,Arbol,Cedrus atlantica,Validation,24,0.115,0.251,0.897,Cedrus atlantica,0.904,1,Cultivo Este,12.7,78.1,0.977,0.889,0.931
132,2026-01-30,Arbol,Cedrus atlantica,Train,23,0.208,0.332,0.818,Cedrus atlantica,0.966,1,Cultivo Sur,27.2,43.4,0.973,0.825,0.893
133,2025-02-15,Arbol,Cedrus atlantica,Validation,27,0.196,0.173,0.912,Cedrus atlantica,0.618,1,Jardin Botanico,31.8,88.7,0.927,0.765,0.838
134,2026-07-06,Arbol,Cedrus atlantica,Train,26,0.24,0.087,0.804,Acer palmatum,0.726,0,Bosque Sur,22.2,78.5,0.935,0.779,0.85
135,2026-11-18,Arbol,Cedrus atlantica,Test,11,0.299,0.195,0.881,Cedrus atlantica,0.664,1,Parque Central,29.9,74.7,0.88,0.81,0.844
136,2025-03-13,Arbol,Cedrus atlantica,Validation,26,0.214,0.154,0.971,Cedrus atlantica,0.659,1,Parque Central,20.8,87.2,0.815,0.9,0.855
137,2025-11-18,Arbol,Cedrus atlantica,Test,26,0.119,0.346,0.874,Cedrus atlantica,0.949,1,Bosque Norte,15.7,50.7,0.915,0.837,0.874
138,2025-11-04,Arbol,Cedrus atlantica,Test,21,0.266,0.208,0.974,Cedrus atlantica,0.672,1,Parque Central,31.7,78.8,0.917,0.831,0.872
139,2026-02-23,Arbol,Cedrus atlantica,Test,15,0.207,0.115,0.806,Cedrus atlantica,0.959,1,Jardin Botanico,25.4,79.8,0.952,0.917,0.934
140,2025-10-30,Arbol,Cedrus atlantica,Test,22,0.221,0.196,0.836,Cedrus atlantica,0.792,1,Cultivo Sur,11.6,69.1,0.821,0.778,0.799
141,2026-03-07,Arbol,Cedrus atlantica,Train,26,0.164,0.083,0.813,Cedrus atlantica,0.753,1,Jardin Botanico,22.0,70.0,0.944,0.818,0.876
142,2025-06-28,Arbol,Cedrus atlantica,Test,24,0.245,0.091,0.886,Cedrus atlantica,0.641,1,Cultivo Este,16.1,89.3,0.925,0.939,0.932
143,2026-02-20,Arbol,Cedrus atlantica,Validation,22,0.226,0.231,0.802,Cedrus atlantica,0.727,1,Bosque Norte,22.9,44.4,0.89,0.886,0.888
144,2025-10-21,Arbol,Cedrus atlantica,Validation,11,0.149,0.116,0.902,Cedrus atlantica,0.869,1,Jardin Botanico,30.0,50.0,0.806,0.767,0.786
145,2026-09-14,Arbol,Cedrus atlantica,Test,25,0.227,0.089,0.969,Cedrus atlantica,0.62,1,Parque Central,23.5,75.5,0.819,0.89,0.853
146,2026-03-29,Arbol,Cedrus atlantica,Validation,19,0.135,0.3,0.814,Cedrus atlantica,0.949,1,Bosque Sur,23.7,80.9,0.929,0.926,0.927
147,2026-06-08,Arbol,Cedrus atlantica,Train,20,0.233,0.102,0.811,Cedrus atlantica,0.696,1,Bosque Sur,14.0,83.6,0.916,0.866,0.89
148,2026-11-06,Arbol,Cedrus atlantica,Train,7,0.096,0.293,0.919,Cedrus atlantica,0.794,1,Parque Central,23.9,76.0,0.976,0.824,0.894
149,2026-11-11,Arbol,Cedrus atlantica,Test,25,0.213,0.134,0.922,Cedrus atlantica,0.628,1,Cultivo Este,10.8,52.9,0.979,0.964,0.972
150,2025-04-06,Arbol,Cedrus atlantica,Validation,29,0.236,0.195,0.862,Cedrus atlantica,0.745,1,Cultivo Sur,34.7,42.0,0.956,0.91,0.933
151,2025-11-14,Arbol,Eucalyptus globulus,Test,12,0.231,0.211,0.957,Eucalyptus globulus,0.951,1,Cultivo Sur,20.5,53.8,0.904,0.846,0.874
152,2025-01-26,Arbol,Eucalyptus globulus,Train,6,0.206,0.251,0.932,Eucalyptus globulus,0.651,1,Cultivo Sur,27.9,85.5,0.964,0.796,0.872
153,2026-09-18,Arbol,Eucalyptus globulus,Validation,29,0.095,0.311,0.889,Eucalyptus globulus,0.696,1,Bosque Norte,31.8,62.3,0.843,0.964,0.899
154,2026-03-01,Arbol,Eucalyptus globulus,Validation,25,0.091,0.186,0.974,Eucalyptus globulus,0.701,1,Cultivo Este,26.4,56.3,0.865,0.88,0.872
155,2026-12-15,Arbol,Eucalyptus globulus,Train,17,0.163,0.144,0.813,Eucalyptus globulus,0.666,1,Jardin Botanico,23.0,56.9,0.824,0.963,0.888
156,2025-09-07,Arbol,Eucalyptus globulus,Validation,9,0.204,0.271,0.83,Eucalyptus globulus,0.665,1,Bosque Sur,10.9,76.8,0.878,0.805,0.84
157,2025-01-06,Arbol,Eucalyptus globulus,Test,29,0.251,0.238,0.956,Eucalyptus globulus,0.68,1,Bosque Norte,12.8,53.5,0.885,0.936,0.91
158,2025-08-13,Arbol,Eucalyptus globulus,Validation,10,0.06,0.113,0.881,Eucalyptus globulus,0.964,1,Bosque Sur,17.9,65.4,0.896,0.956,0.925
159,2026-04-21,Arbol,Eucalyptus globulus,Test,6,0.291,0.081,0.971,Eucalyptus globulus,0.849,1,Cultivo Este,31.7,62.7,0.827,0.967,0.891
160,2025-05-05,Arbol,Eucalyptus globulus,Train,19,0.085,0.088,0.855,Eucalyptus globulus,0.875,1,Cultivo Sur,15.0,73.7,0.888,0.897,0.892
161,2026-07-27,Arbol,Eucalyptus globulus,Validation,24,0.161,0.314,0.832,Acer palmatum,0.87,0,Parque Central,31.0,87.2,0.817,0.898,0.856
162,2026-09-20,Arbol,Eucalyptus globulus,Validation,28,0.267,0.234,0.805,Eucalyptus globulus,0.963,1,Cultivo Este,27.2,73.8,0.889,0.886,0.888
163,2026-07-16,Arbol,Eucalyptus globulus,Validation,19,0.213,0.109,0.918,Eucalyptus globulus,0.99,1,Cultivo Sur,11.2,88.9,0.919,0.837,0.876
164,2026-05-02,Arbol,Eucalyptus globulus,Test,19,0.192,0.279,0.958,Eucalyptus globulus,0.758,1,Parque Central,18.2,73.4,0.957,0.922,0.939
